n,classic(ms),cirilo(ms)
337500,137.479000,69.663000
337600,130.853000,68.912000
337700,131.820000,69.898000
337800,132.510000,69.339000
337900,130.266000,67.044000
338000,138.254000,71.294000
338100,135.019000,76.460000
338200,133.562000,69.578000
338300,129.090000,67.621000
338400,128.244000,72.501000
338500,139.090000,72.962000
338600,141.001000,75.189000
338700,162.488000,88.882000
338800,199.082000,93.681000
338900,169.578000,86.166000
339000,164.231000,85.936000
339100,158.836000,100.397000
339200,172.914000,96.147000
339300,187.876000,106.173000
339400,202.042000,101.429000
339500,187.425000,89.807000
339600,155.974000,78.606000
339700,149.229000,79.419000
339800,155.828000,79.541000
339900,144.392000,79.048000
340000,143.955000,76.585000
340100,139.679000,74.856000
340200,134.365000,69.777000
340300,131.762000,67.286000
340400,126.937000,67.776000
340500,126.465000,69.265000
340600,127.015000,67.385000
340700,127.070000,67.741000
340800,122.708000,65.095000
340900,123.212000,65.085000
341000,123.218000,63.448000
341100,118.864000,63.006000
341200,118.814000,67.962000
341300,123.050000,65.350000
341400,125.494000,69.644000
341500,132.028000,69.052000
341600,127.267000,67.525000
341700,125.609000,65.164000
341800,122.946000,65.254000
341900,123.012000,65.774000
342000,122.873000,63.175000
342100,119.731000,62.849000
342200,120.162000,63.394000
342300,123.342000,65.597000
342400,119.238000,63.837000
342500,119.393000,63.246000
342600,121.396000,65.594000
342700,124.951000,69.430000
342800,133.728000,68.963000
342900,127.544000,67.260000
343000,123.332000,65.551000
343100,123.947000,65.088000
343200,124.754000,65.778000
343300,120.890000,63.471000
343400,119.907000,63.769000
343500,119.946000,63.633000
343600,119.722000,65.612000
343700,125.036000,65.698000
343800,123.653000,64.426000
343900,121.631000,63.660000
344000,119.977000,63.754000
344100,120.414000,63.254000
344200,124.105000,65.844000
344300,123.718000,63.783000
344400,120.354000,63.909000
344500,120.011000,63.939000
344600,124.025000,66.029000
344700,125.191000,64.645000
344800,120.281000,63.745000
344900,120.456000,63.910000
345000,122.105000,65.969000
345100,123.524000,63.549000
345200,120.556000,63.914000
345300,122.328000,66.016000
345400,123.732000,63.998000
